"Order","Price","LotFrontage","LotArea","LotConfig","HouseStyle","Quality","Condition","YearBuilt","YearRemodel","ExteriorQ","ExteriorC","Foundation","BasementHt","BasementC","BasementFin","BasementFinSF","BasementUnFinSF","BasementSF","Heating","HeatingQC","CentralAir","FirstSF","SecondSF","GroundSF","BasementFBath","BasementHBath","FullBath","HalfBath","Bedroom","KitchenQ","TotalRooms","Fireplaces","GarageType","GarageCars","GarageSF","GarageQ","GarageC","WoodDeckSF","OpenPorchSF","EnclosedPorchSF","ScreenPorchSF"
767,103.6,54,6629,"Inside","2Story",6,6,1925,1950,"TA","Gd","BrkTil","TA","TA","BLQ",551,121,672,"GasA","TA","N",697,672,1369,1,0,2,0,3,"TA",6,0,"Detchd",1,300,"TA","TA",147,0,0,0
1390,144.9,94,9239,"Inside","1Story",5,8,1963,2003,"TA","Gd","CBlock","TA","TA","GLQ",634,326,960,"GasA","Ex","Y",960,0,960,1,0,1,0,3,"Gd",6,0,"Attchd",1,300,"TA","TA",168,0,0,0
430,404,95,12350,"Inside","1Story",9,5,2008,2008,"Ex","TA","PConc","Ex","TA","GLQ",1232,788,2020,"GasA","Ex","Y",2020,0,2020,1,0,2,0,3,"Ex",7,1,"Attchd",3,896,"TA","TA",192,98,0,0
731,205,55,7264,"Inside","1.5Fin",7,7,1925,2007,"Gd","Gd","BrkTil","TA","TA","Unf",0,952,952,"GasW","Gd","N",952,596,1548,0,0,2,1,3,"Ex",5,0,"Detchd",2,672,"TA","TA",74,0,0,144
1930,129.5,75,10050,"Inside","1Story",5,5,1955,1955,"TA","TA","CBlock","TA","TA","Rec",288,928,1216,"GasA","TA","Y",1216,0,1216,1,0,1,0,3,"TA",5,0,"Attchd",1,336,"TA","TA",0,0,0,0
218,136.5,72,10778,"Inside","1Story",4,5,1968,1968,"TA","TA","CBlock","TA","TA","Unf",0,1768,1768,"GasA","TA","N",1768,0,1768,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,0,0,0
1249,180,95,14250,"Inside","1Story",6,5,1957,1957,"TA","TA","CBlock","TA","TA","Unf",0,998,998,"GasA","TA","Y",1790,0,1790,0,0,2,0,3,"TA",6,2,"Attchd",2,540,"TA","TA",0,40,0,0
1516,135.9,55,5687,"Inside","2Story",5,6,1912,2000,"TA","Fa","PConc","TA","Fa","Rec",210,570,780,"GasA","Ex","N",936,780,1716,1,0,2,0,6,"Fa",9,0,"None",0,0,"None","None",0,184,0,0
2566,119,0,8917,"Inside","1Story",5,5,1967,1967,"TA","TA","CBlock","TA","TA","Unf",0,1584,1584,"GasA","TA","Y",1584,0,1584,0,0,2,0,4,"TA",8,0,"Detchd",2,506,"TA","TA",0,0,0,0
1452,127,60,7180,"Inside","1Story",5,7,1972,1972,"TA","TA","CBlock","TA","TA","ALQ",390,474,864,"GasA","TA","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",1,352,"TA","TA",0,0,0,0
564,275,0,15676,"Inside","1Story",8,8,1980,1980,"Gd","Gd","CBlock","Gd","Gd","ALQ",1733,189,2014,"GasA","Gd","Y",2014,0,2014,1,0,2,0,2,"Gd",6,2,"Attchd",3,864,"TA","TA",462,0,0,0
1942,112.5,0,15783,"Inside","1Story",5,5,1952,1952,"TA","TA","CBlock","TA","TA","Rec",292,632,924,"GasA","TA","Y",924,0,924,0,0,1,0,2,"TA",6,0,"Detchd",1,420,"TA","TA",0,324,0,0
1459,222.5,75,11404,"Inside","2Story",7,5,1998,1999,"Gd","TA","PConc","Gd","TA","ALQ",252,901,1153,"GasA","Ex","Y",1153,878,2031,0,0,2,1,3,"Gd",8,1,"Attchd",2,541,"TA","TA",192,84,0,0
1480,193,74,9627,"Inside","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","GLQ",24,1327,1351,"GasA","Ex","Y",1361,0,1361,0,0,2,0,3,"Gd",6,0,"Attchd",2,610,"TA","TA",0,50,0,0
1484,149,0,4438,"Inside","1Story",6,5,2004,2004,"Gd","TA","PConc","Gd","TA","GLQ",662,186,848,"GasA","Ex","Y",848,0,848,1,0,1,0,1,"Gd",3,1,"Attchd",2,420,"TA","TA",149,0,0,0
778,165,88,15400,"Inside","SLvl",5,5,1961,1961,"TA","TA","CBlock","TA","Gd","Unf",0,552,552,"GasA","TA","Y",904,611,1774,0,0,2,0,4,"TA",8,1,"Attchd",1,384,"TA","TA",290,40,0,0
331,75.5,21,1491,"Inside","SFoyer",4,6,1972,1972,"TA","TA","CBlock","Gd","TA","LwQ",150,0,630,"GasA","Ex","Y",630,0,630,1,0,1,0,1,"TA",3,0,"None",0,0,"None","None",96,24,0,0
2904,81.5,125,31250,"Inside","1Story",1,3,1951,1951,"TA","Fa","CBlock","None","None","None",0,0,0,"GasA","TA","Y",1600,0,1600,0,0,1,1,3,"TA",6,0,"Attchd",1,270,"Fa","TA",0,0,135,0
1085,187.687,53,3710,"Inside","1Story",7,5,2007,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1146,1146,"GasA","Ex","Y",1246,0,1246,0,0,2,0,2,"Gd",5,1,"Attchd",2,428,"TA","TA",100,24,0,0
1896,200,0,22002,"Corner","1Story",6,7,1959,1991,"TA","Gd","CBlock","TA","TA","ALQ",1386,206,1592,"GasA","Gd","Y",1652,0,1652,1,0,1,1,3,"Gd",6,1,"Attchd",2,510,"TA","TA",0,0,0,201
1130,230.348,62,7500,"Inside","1Story",7,5,2007,2008,"Gd","TA","PConc","Gd","TA","GLQ",902,316,1218,"GasA","Ex","Y",1218,0,1218,1,0,2,0,2,"Gd",6,0,"Attchd",2,462,"TA","TA",168,168,0,0
1537,257.076,100,9670,"Inside","2Story",8,6,1935,1950,"TA","TA","PConc","TA","Fa","LwQ",210,398,608,"GasA","TA","Y",983,890,1873,0,0,1,1,4,"TA",9,2,"Detchd",2,786,"Fa","TA",0,0,207,0
1583,175,85,10200,"Inside","SLvl",6,5,1988,1989,"Gd","TA","CBlock","Gd","TA","GLQ",783,678,1461,"GasA","Ex","Y",1509,0,1509,1,0,2,0,3,"Gd",5,1,"Attchd",2,600,"TA","TA",224,0,0,0
1334,106.9,59,5870,"Corner","2Story",6,9,1900,2000,"TA","Gd","BrkTil","TA","TA","Unf",0,554,554,"GasA","Ex","Y",736,554,1290,0,0,1,1,3,"TA",6,0,"Detchd",1,200,"Fa","TA",38,112,0,0
941,123,50,8660,"Inside","2Story",5,6,1900,1993,"TA","TA","BrkTil","TA","TA","Unf",0,760,760,"GasA","Ex","N",928,928,2168,0,0,2,0,5,"Gd",11,0,"Detchd",2,576,"TA","TA",467,160,78,0
484,236,0,8795,"Inside","2Story",7,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",300,652,952,"GasA","Ex","Y",980,1276,2256,0,0,2,1,4,"Gd",8,1,"BuiltIn",2,554,"TA","TA",224,54,0,0
1238,136.5,74,8856,"Inside","1Story",5,4,1957,1957,"TA","TA","CBlock","TA","TA","ALQ",621,503,1176,"GasA","TA","Y",1176,0,1176,1,0,1,0,3,"TA",6,2,"Attchd",1,292,"TA","TA",0,88,0,95
372,181,48,17043,"CulDSac","1Story",6,5,1979,1998,"TA","Gd","CBlock","Gd","Fa","Unf",0,1362,1362,"GasA","TA","Y",1586,0,1586,0,0,2,0,3,"TA",7,1,"Attchd",2,435,"TA","TA",192,0,0,0
351,278,40,5664,"Inside","1Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",1158,343,1501,"GasA","Ex","Y",1659,0,1659,1,0,2,0,2,"Ex",5,1,"Attchd",2,499,"TA","TA",212,59,0,0
2244,140,65,6565,"Corner","1Story",4,6,1957,1980,"TA","TA","CBlock","TA","TA","GLQ",967,106,1073,"GasA","Gd","Y",1073,0,1073,1,0,1,0,3,"TA",6,0,"Detchd",2,720,"TA","TA",0,444,0,0
400,124.5,70,8120,"Inside","1Story",4,7,1970,1970,"TA","Gd","CBlock","TA","TA","ALQ",191,673,864,"GasA","Ex","Y",864,0,864,0,0,1,0,3,"TA",5,0,"Detchd",2,463,"TA","TA",0,0,0,0
1214,168.5,82,9020,"Corner","SLvl",6,5,1964,1964,"TA","TA","CBlock","TA","TA","GLQ",624,288,1248,"GasA","TA","Y",1350,0,1350,1,0,1,1,3,"TA",6,0,"Attchd",2,520,"TA","TA",176,0,0,0
481,192,0,8965,"Inside","2Story",7,5,2003,2003,"Gd","TA","PConc","Gd","TA","GLQ",652,130,782,"GasA","Ex","Y",806,683,1489,1,0,2,1,3,"Gd",8,1,"Attchd",2,400,"TA","TA",0,75,0,0
732,137,50,4960,"Inside","1.5Fin",5,7,1930,1982,"TA","TA","CBlock","TA","TA","Unf",0,297,297,"GasA","Ex","Y",1001,653,1654,0,0,2,0,3,"TA",7,1,"Detchd",1,336,"TA","TA",244,60,0,0
106,254,68,7379,"Inside","2Story",8,5,2000,2000,"Gd","TA","PConc","Gd","TA","GLQ",484,491,975,"GasA","Ex","Y",975,873,1848,1,0,2,1,3,"Gd",7,1,"Attchd",2,592,"TA","TA",280,184,0,0
956,137.5,0,14375,"CulDSac","SLvl",6,6,1958,1958,"TA","TA","CBlock","TA","TA","GLQ",111,354,819,"GasA","Gd","Y",1344,0,1344,0,1,1,0,3,"Gd",7,1,"Basment",2,525,"TA","TA",0,118,0,233
184,150,60,9600,"Corner","2Story",8,9,1900,2003,"Gd","Gd","BrkTil","TA","TA","Unf",0,930,930,"GasW","TA","N",930,636,1566,0,0,2,0,3,"Gd",7,0,"Detchd",1,288,"TA","TA",54,228,246,0
1588,370,85,11447,"Inside","1Story",8,5,2005,2006,"Gd","TA","PConc","Ex","TA","GLQ",1571,393,1964,"GasA","Ex","Y",1964,0,1964,1,0,2,1,3,"Gd",7,1,"Attchd",3,892,"TA","TA",0,265,0,0
2450,350,83,10019,"Inside","2Story",8,5,1995,1995,"Gd","TA","PConc","Gd","TA","ALQ",527,815,1342,"GasA","Ex","Y",1358,1368,2726,0,0,2,1,4,"Gd",9,1,"Attchd",3,725,"TA","TA",307,169,168,0
1368,79.9,60,5586,"Inside","1.5Fin",6,7,1920,1998,"TA","TA","BrkTil","TA","TA","Unf",0,901,901,"GasA","Gd","Y",1088,110,1198,0,0,1,0,4,"TA",7,0,"None",0,0,"None","None",0,98,0,0
2729,130,72,10820,"Corner","SFoyer",5,7,1971,1972,"TA","TA","PConc","Gd","TA","GLQ",535,88,782,"GasA","Ex","Y",810,0,810,1,0,1,0,2,"TA",4,0,"Detchd",2,576,"TA","TA",0,0,0,0
1025,175,0,15611,"Corner","1Story",5,6,1977,1977,"TA","TA","PConc","Gd","TA","ALQ",767,266,1126,"GasA","TA","Y",1126,0,1126,0,1,2,0,3,"Ex",6,0,"Attchd",2,540,"TA","TA",180,0,0,0
1424,177.439,65,10616,"Inside","2Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,628,628,"GasA","Ex","Y",628,728,1356,0,0,2,1,3,"Gd",6,1,"BuiltIn",2,484,"TA","TA",100,24,0,0
807,131,120,26400,"FR2","2Story",5,7,1880,2007,"Gd","TA","PConc","None","None","None",0,0,0,"GasA","Ex","Y",1288,728,2016,0,0,1,0,4,"TA",7,1,"Attchd",2,576,"TA","TA",0,0,0,0
2649,105,60,7200,"Inside","1Story",4,5,1950,1950,"TA","TA","CBlock","TA","TA","Unf",0,576,576,"GasA","Ex","Y",864,0,864,0,0,1,0,2,"TA",5,0,"Detchd",1,528,"TA","TA",0,0,0,115
933,115,24,1733,"Inside","2Story",6,6,1980,1980,"TA","TA","CBlock","TA","TA","Unf",0,516,516,"GasA","TA","Y",516,516,1032,0,0,1,0,2,"TA",5,1,"Detchd",2,452,"TA","TA",279,0,0,0
456,230,34,5001,"Inside","1Story",7,5,2007,2008,"Gd","TA","PConc","Gd","TA","GLQ",904,410,1314,"GasA","Ex","Y",1314,0,1314,1,0,2,0,2,"Gd",6,1,"Attchd",2,626,"TA","TA",172,62,0,0
317,179.781,73,9803,"Inside","1Story",7,5,2009,2010,"Gd","TA","PConc","Gd","TA","Unf",0,1214,1214,"GasA","Ex","Y",1214,0,1214,0,0,2,0,2,"Gd",6,0,"Attchd",2,520,"TA","TA",0,25,0,0
2928,132,62,10441,"Inside","SFoyer",5,5,1992,1992,"TA","TA","PConc","Gd","TA","GLQ",337,575,912,"GasA","TA","Y",970,0,970,0,1,1,0,3,"TA",6,0,"None",0,0,"None","None",80,32,0,0
254,320,90,12376,"Corner","2Story",7,5,1990,1990,"TA","TA","PConc","Gd","TA","GLQ",1470,203,1673,"GasA","Gd","Y",1699,1523,3222,1,0,3,0,5,"Gd",11,2,"Attchd",3,594,"TA","TA",367,0,0,0
2176,148,0,7917,"Corner","1Story",6,7,1976,1976,"TA","Gd","CBlock","TA","Gd","BLQ",751,392,1143,"GasA","TA","Y",1113,0,1113,1,0,1,1,3,"TA",6,1,"Attchd",1,504,"TA","Gd",370,30,0,0
1435,226.001,0,8696,"Inside","1Story",7,5,1997,1998,"TA","TA","PConc","Gd","TA","GLQ",1308,110,1418,"GasA","Ex","Y",1418,0,1418,1,0,2,0,3,"Gd",5,1,"Attchd",2,558,"TA","TA",208,110,0,0
2098,424.87,77,9965,"Inside","2Story",8,5,2006,2007,"Gd","TA","PConc","Ex","TA","GLQ",1150,316,1466,"GasA","Ex","Y",1466,1362,2828,1,0,3,0,4,"Gd",11,1,"BuiltIn",3,1052,"TA","TA",125,144,0,0
2254,148,0,8750,"Inside","SLvl",7,6,1975,1975,"TA","TA","CBlock","TA","TA","Rec",224,98,852,"GasA","TA","Y",918,0,918,0,1,1,0,3,"TA",4,0,"Attchd",1,360,"TA","TA",192,84,0,0
2255,143,82,8410,"Corner","SFoyer",6,6,1974,1974,"TA","TA","CBlock","Gd","TA","ALQ",924,46,970,"GasA","TA","Y",1026,0,1026,1,0,1,0,2,"TA",5,1,"Attchd",2,528,"TA","TA",193,0,0,0
1280,109.5,60,7200,"Inside","1Story",5,7,1954,1954,"TA","TA","CBlock","TA","TA","Unf",0,825,825,"GasA","TA","Y",825,0,825,0,1,1,0,2,"TA",4,0,"Attchd",1,350,"TA","TA",0,0,0,0
191,140.75,60,10560,"Inside","2Story",6,7,1922,1994,"TA","TA","CBlock","Fa","TA","Rec",283,455,738,"GasA","Ex","Y",868,602,1470,0,0,1,1,2,"TA",6,0,"Detchd",2,624,"TA","TA",0,0,0,0
1731,168.165,58,13204,"Inside","2Story",7,5,2006,2007,"TA","TA","PConc","Gd","TA","Unf",0,608,608,"GasA","Ex","Y",608,850,1458,0,0,2,0,3,"Gd",6,0,"BuiltIn",2,454,"TA","TA",100,33,0,0
1383,153,0,7703,"CulDSac","SFoyer",6,8,1978,1978,"TA","TA","CBlock","Gd","TA","ALQ",450,0,450,"GasA","Ex","Y",1034,0,1034,0,1,1,0,3,"TA",6,1,"Basment",2,504,"TA","TA",311,0,0,0
2158,246.9,73,17227,"CulDSac","1Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",915,426,1341,"GasA","Ex","Y",1341,0,1341,1,0,1,1,1,"Gd",5,1,"Attchd",2,482,"TA","TA",240,84,0,0
2123,175,57,10021,"Inside","2Story",6,6,1997,2006,"TA","Gd","PConc","Gd","TA","GLQ",539,96,635,"GasA","Ex","Y",646,662,1308,1,0,2,1,3,"Gd",6,0,"Attchd",2,497,"TA","TA",142,54,0,0
2040,109.9,40,4800,"Inside","1Story",4,7,1916,1990,"TA","TA","CBlock","TA","TA","LwQ",197,999,1196,"GasA","Ex","Y",1196,0,1196,1,0,1,0,2,"TA",5,0,"Detchd",2,440,"TA","TA",0,0,0,0
1319,122,50,5250,"Inside","2Story",8,5,1872,1987,"TA","Gd","BrkTil","TA","Fa","LwQ",259,425,684,"OthW","Fa","N",938,1215,2358,0,0,2,0,4,"TA",8,0,"None",0,0,"None","None",0,54,20,0
2459,232,73,8688,"Inside","1Story",7,5,2005,2005,"Gd","TA","PConc","Gd","TA","Unf",0,1616,1616,"GasA","Ex","Y",1616,0,1616,0,0,2,0,3,"Gd",7,0,"Attchd",3,834,"TA","TA",208,59,0,0
2374,146.3,53,4043,"Inside","1Story",6,5,1975,1975,"TA","TA","CBlock","Gd","TA","ALQ",727,186,1069,"GasA","Gd","Y",1069,0,1069,0,1,2,0,2,"TA",4,1,"Attchd",2,440,"TA","TA",0,55,0,225
1343,123,52,6240,"Inside","1.5Fin",4,7,1929,1950,"TA","TA","PConc","TA","TA","BLQ",80,624,704,"GasA","Ex","Y",624,512,1136,0,1,1,0,2,"TA",6,0,"Detchd",1,336,"TA","TA",0,365,80,0
2650,116,40,4400,"Inside","1.5Fin",6,8,1920,1950,"TA","TA","BrkTil","Fa","TA","Unf",0,648,648,"GasA","TA","Y",734,384,1118,0,0,1,0,2,"TA",6,0,"Detchd",2,440,"TA","TA",0,0,0,0
2893,230,0,8239,"Inside","1Story",7,5,1986,1986,"Gd","TA","CBlock","None","None","None",0,0,0,"GasA","Gd","Y",1295,0,1295,0,0,2,0,2,"Gd",5,0,"Attchd",1,312,"TA","TA",0,0,0,0
2870,257,78,15600,"Inside","2Story",5,7,1950,1963,"TA","Gd","CBlock","Gd","TA","GLQ",760,408,1168,"GasA","Gd","Y",1278,1037,2315,1,0,2,0,4,"TA",9,3,"Attchd",1,342,"TA","TA",0,0,0,192
34,149.9,24,2280,"FR2","2Story",6,6,1975,1975,"TA","TA","CBlock","TA","TA","ALQ",514,341,855,"GasA","TA","Y",855,601,1456,0,0,2,1,3,"Gd",6,1,"Attchd",2,440,"TA","TA",173,0,0,0
2331,545.224,60,18062,"CulDSac","2Story",10,5,2006,2006,"Ex","TA","PConc","Ex","TA","Unf",0,1528,1528,"GasA","Ex","Y",1528,1862,3390,0,0,3,1,5,"Ex",10,1,"BuiltIn",3,758,"TA","TA",204,34,0,0
509,257.5,78,10206,"Inside","1Story",8,5,2008,2008,"Gd","TA","PConc","Gd","TA","Unf",0,1614,1614,"GasA","Ex","Y",1658,0,1658,0,0,2,1,3,"Gd",7,1,"Attchd",3,726,"TA","TA",144,44,0,0
574,172.5,24,2645,"Inside","2Story",8,5,1999,2000,"Gd","TA","PConc","Gd","TA","GLQ",649,321,970,"GasA","Ex","Y",983,756,1739,1,0,2,1,3,"Gd",7,0,"Attchd",2,480,"TA","TA",115,0,0,0
1860,181.5,80,9600,"FR2","1Story",6,8,1976,1976,"TA","TA","CBlock","Gd","TA","ALQ",978,284,1262,"GasA","Ex","Y",1262,0,1262,0,1,2,0,3,"TA",6,1,"Attchd",2,460,"TA","TA",298,0,0,0
1733,198.444,63,9729,"Inside","2Story",6,5,2006,2007,"Gd","TA","PConc","Gd","TA","Unf",0,698,698,"GasA","Ex","Y",698,1048,1746,1,0,2,1,3,"Gd",6,1,"BuiltIn",3,350,"TA","TA",0,34,0,0
575,318.75,0,14694,"Inside","1Story",8,9,1977,2008,"Ex","Ex","CBlock","Gd","Gd","GLQ",1252,306,1694,"GasA","Ex","Y",1694,0,1694,1,0,2,0,2,"Ex",5,1,"Attchd",2,642,"TA","TA",501,120,0,0
1393,235,0,13500,"Inside","1Story",6,7,1960,1975,"TA","TA","CBlock","Gd","TA","BLQ",429,93,1602,"GasA","Gd","Y",1252,0,1252,1,0,1,0,1,"TA",4,1,"Attchd",2,564,"TA","TA",409,0,0,0
613,174.5,85,11475,"Corner","SLvl",6,6,1961,1961,"TA","TA","CBlock","TA","TA","ALQ",568,640,1208,"GasA","Ex","Y",1576,0,1576,1,0,1,0,4,"Gd",7,1,"BuiltIn",2,368,"TA","TA",85,0,0,0
1666,155,63,9457,"Inside","1Story",5,6,1970,1990,"TA","TA","CBlock","TA","TA","ALQ",566,359,925,"GasA","TA","Y",1422,0,1422,1,0,1,0,3,"TA",7,0,"Detchd",2,576,"TA","TA",252,0,0,0
2376,123,68,7838,"Inside","SFoyer",5,5,1967,1967,"TA","TA","CBlock","TA","TA","ALQ",769,95,864,"GasA","TA","Y",900,0,900,1,0,1,0,3,"TA",6,1,"Attchd",1,288,"TA","TA",175,144,0,0
1412,99.6,50,9350,"Inside","SFoyer",5,5,1975,1975,"TA","TA","PConc","Gd","TA","GLQ",864,0,864,"GasA","Fa","N",864,0,864,1,0,1,0,2,"TA",4,0,"None",0,0,"None","None",0,0,0,0
2542,136.5,0,10659,"Inside","1Story",5,6,1961,1961,"TA","TA","CBlock","TA","TA","Rec",915,135,1050,"GasA","TA","Y",1050,0,1050,1,0,1,0,3,"TA",6,0,"Attchd",1,368,"TA","TA",0,319,0,0
898,99.9,56,4060,"Corner","1Story",5,8,1922,1950,"TA","TA","PConc","Fa","TA","Unf",0,864,864,"GasA","Ex","Y",864,0,864,0,0,1,0,2,"TA",4,0,"None",0,0,"None","None",0,96,0,0
752,179.9,68,9928,"Inside","2Story",7,8,1915,1994,"TA","Gd","BrkTil","TA","TA","Unf",0,672,672,"GasA","Fa","Y",1272,672,1944,0,0,2,0,3,"TA",8,0,"Detchd",1,216,"TA","TA",24,28,0,0
2194,119,60,8190,"Inside","1Story",4,6,1954,1954,"TA","TA","CBlock","TA","TA","Rec",732,216,948,"GasA","Ex","Y",948,0,948,1,0,1,0,3,"TA",5,1,"Detchd",1,280,"TA","TA",0,36,0,0
2728,225,81,15593,"Corner","1.5Fin",7,4,1953,1953,"Gd","TA","CBlock","TA","TA","BLQ",603,701,1304,"GasW","TA","Y",1304,983,2287,0,0,2,0,3,"TA",7,1,"Attchd",2,667,"TA","TA",0,21,114,0
1513,108,67,5142,"Inside","1.5Fin",4,7,1923,2008,"TA","TA","PConc","TA","TA","ALQ",224,725,949,"GasA","TA","Y",949,343,1292,0,0,1,1,3,"Gd",6,0,"Detchd",1,205,"TA","TA",0,0,183,0
314,170,0,12760,"Inside","1Story",6,5,1976,1976,"TA","TA","CBlock","TA","TA","Unf",0,1958,1958,"GasA","TA","Y",2048,0,2048,0,0,3,0,5,"TA",9,0,"2Types",2,776,"TA","TA",0,0,0,0
2325,165.6,0,7685,"Inside","2Story",6,5,1993,1994,"TA","TA","PConc","Gd","TA","ALQ",518,179,697,"GasA","Gd","Y",697,804,1501,0,0,2,1,3,"Gd",6,1,"Attchd",2,420,"TA","TA",190,63,0,0
2694,119.5,50,8600,"Inside","1.5Fin",6,6,1937,1950,"TA","TA","BrkTil","TA","TA","Unf",0,780,780,"GasA","TA","Y",780,596,1376,0,0,2,0,3,"TA",7,1,"Detchd",1,198,"TA","TA",0,0,0,0
1767,252,83,10790,"Inside","2Story",7,5,1998,1998,"Gd","TA","PConc","Gd","TA","Unf",0,1066,1066,"GasA","Ex","Y",1108,1277,2385,0,0,2,1,4,"Gd",8,1,"BuiltIn",3,600,"TA","TA",120,38,0,0
1044,85.4,21,1680,"Inside","2Story",6,5,1971,1971,"TA","TA","CBlock","TA","TA","ALQ",387,96,483,"GasA","TA","Y",483,504,987,0,0,1,1,2,"TA",4,0,"Detchd",1,264,"TA","TA",0,0,0,0
2205,135,53,7155,"Inside","2Story",6,8,1926,1991,"TA","TA","BrkTil","TA","TA","Unf",0,686,686,"GasA","TA","Y",686,775,1461,0,0,1,0,3,"TA",6,1,"Detchd",1,225,"TA","TA",0,0,116,0
2735,225,78,7800,"Inside","2Story",5,8,1948,2002,"TA","Gd","CBlock","TA","Gd","GLQ",603,293,896,"GasA","Ex","Y",1112,896,2008,1,0,3,0,3,"Ex",8,0,"Attchd",1,230,"TA","TA",103,0,0,0
714,87.5,60,9600,"Inside","2Story",4,4,1910,1950,"Gd","Gd","BrkTil","Fa","TA","Unf",0,677,677,"GasA","TA","Y",833,677,1510,0,0,2,0,3,"Gd",7,0,"Detchd",2,720,"TA","TA",0,0,160,0
1411,159.9,68,9571,"Inside","1Story",5,6,1956,1956,"TA","TA","CBlock","TA","TA","Rec",870,639,1509,"GasA","TA","Y",1509,0,1509,1,0,1,0,3,"Gd",6,1,"Attchd",1,322,"TA","TA",158,0,0,576
446,269.5,90,12878,"Corner","1Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","ALQ",1262,498,1760,"GasA","Ex","Y",1760,0,1760,1,0,2,0,3,"Gd",8,1,"Attchd",2,583,"TA","TA",165,190,0,0
1596,129.5,41,2665,"Inside","2Story",5,7,1976,1976,"TA","TA","PConc","Gd","TA","ALQ",318,232,550,"GasA","TA","Y",925,550,1475,0,0,2,0,4,"TA",6,1,"Attchd",1,336,"TA","TA",92,26,0,0
2287,106.5,0,1533,"Inside","SLvl",4,5,1970,1970,"TA","TA","CBlock","Gd","TA","GLQ",503,27,530,"GasA","TA","Y",530,462,992,1,0,1,0,2,"TA",4,0,"BuiltIn",1,297,"TA","TA",112,97,0,0
1139,170,81,9260,"Corner","1Story",7,5,2007,2007,"Gd","TA","PConc","Gd","TA","Unf",0,1162,1162,"GasA","Ex","Y",1162,0,1162,0,0,2,0,3,"Gd",6,0,"Attchd",2,483,"TA","TA",0,32,0,0
1300,115,50,6000,"Inside","1Story",5,5,1948,1950,"TA","TA","CBlock","TA","TA","ALQ",104,516,789,"GasA","Ex","Y",789,0,789,0,0,1,0,2,"TA",5,0,"Detchd",1,250,"TA","TA",0,0,0,0
177,119,60,7200,"Corner","1Story",5,7,1940,1992,"TA","Gd","CBlock","TA","TA","BLQ",510,278,788,"GasA","TA","Y",804,0,804,1,0,1,0,2,"Gd",4,2,"Attchd",1,240,"TA","TA",0,0,154,0
2159,219.5,65,8200,"Inside","2Story",7,5,2003,2004,"Gd","TA","PConc","Gd","TA","Unf",0,847,847,"GasA","Ex","Y",847,1081,1928,0,0,2,1,4,"Gd",8,1,"BuiltIn",2,434,"TA","TA",100,48,0,0
680,138,60,7200,"Inside","1.5Fin",5,4,1950,1982,"TA","TA","CBlock","TA","TA","Rec",180,676,1208,"GasA","Gd","Y",1136,768,1904,1,0,1,1,3,"TA",7,0,"Attchd",1,240,"TA","TA",0,0,168,0
2573,132.5,70,7728,"Inside","SLvl",5,6,1962,1962,"TA","TA","CBlock","TA","TA","ALQ",803,303,1106,"GasA","TA","Y",1190,0,1190,1,0,1,0,3,"TA",6,0,"Attchd",2,540,"TA","TA",0,18,0,0
952,173,72,9360,"Inside","SFoyer",6,7,1977,1977,"TA","TA","CBlock","Gd","TA","GLQ",841,0,957,"GasA","TA","Y",1287,0,1287,1,0,1,1,2,"TA",5,2,"Attchd",2,541,"TA","TA",302,39,0,120
2036,212.3,60,9780,"Inside","2Story",7,9,1950,2005,"TA","Ex","CBlock","TA","TA","LwQ",354,224,976,"GasA","Ex","Y",976,976,1952,0,0,1,1,4,"Gd",8,2,"Detchd",1,299,"TA","TA",285,0,0,216
2749,215,80,9554,"Inside","2Story",8,5,1993,1994,"Gd","TA","PConc","Gd","TA","GLQ",380,397,777,"GasA","Ex","Y",1065,846,1911,0,0,2,1,3,"Gd",8,1,"Attchd",2,471,"TA","TA",182,81,0,0
2716,180,78,10335,"Inside","1Story",5,6,1968,1993,"TA","TA","CBlock","TA","TA","Rec",570,891,1461,"GasA","Gd","Y",1721,0,1721,0,0,2,1,3,"TA",7,1,"Attchd",2,440,"TA","TA",0,96,180,0
1955,128.5,66,8300,"Inside","1Story",6,6,1968,1968,"TA","TA","CBlock","TA","TA","Rec",952,0,952,"GasA","Gd","Y",952,0,952,1,0,1,0,3,"TA",5,0,"Attchd",1,288,"TA","TA",0,0,0,0
1340,113,50,5000,"Inside","1.5Unf",6,7,1926,1950,"TA","TA","BrkTil","TA","TA","Unf",0,992,992,"GasA","Ex","Y",1013,0,1013,0,0,1,0,3,"TA",6,0,"Detchd",1,160,"Fa","TA",0,0,101,0
366,187.5,0,5814,"CulDSac","1Story",8,5,1984,1984,"Gd","TA","CBlock","Gd","TA","GLQ",1036,184,1220,"GasA","Gd","Y",1360,0,1360,1,0,1,0,1,"Gd",4,1,"Attchd",2,565,"TA","TA",63,0,0,0
